Case #1
10 394
10 397
10 400
10 403
10 406
10 409
10 412
10 415
10 418
10 421
10 424
10 427
10 430
10 433
10 436
10 439
10 442
10 445
10 448
10 451
10 454
10 457
10 460
10 463
10 466
10 469
10 472
10 475
10 478
10 481
10 484
10 487
10 490
10 493
10 496
13 1
13 4
13 7
13 10
13 13
13 16
13 19
13 22
13 25
13 28
13 31
13 34
13 37
13 40
13 43
13 46
13 49
13 52
13 55
13 58
13 61
13 64
13 67
13 70
13 73
13 76
13 79
13 82
13 85
13 88
13 91
13 94
13 97
13 100
13 103
13 106
13 109
13 112
13 115
13 118
13 121
13 124
13 127
13 130
13 133
13 136
13 139
13 142
13 145
13 148
13 151
13 154
13 157
13 160
13 163
13 166
13 169
13 172
13 175
13 178
13 181
13 184
13 187
13 190
13 193
13 196
13 199
13 202
13 205
13 208
13 211
13 214
13 217
13 220
13 223
13 226
13 229
13 232
13 235
13 238
13 241
13 244
13 247
13 250
13 253
13 256
13 259
13 262
13 265
13 268
13 271
13 274
13 277
13 280
13 283
13 286
13 289
13 292
13 295
13 298
13 301
13 304
13 307
13 310
13 313
13 316
13 319
13 322
13 325
13 328
13 331
13 334
13 337
13 340
13 343
13 346
13 349
13 352
13 355
13 358
13 361
13 364
13 367
13 370
13 373
13 376
13 379
13 382
13 385
13 388
13 391
13 394
13 397
13 400
13 403
13 406
13 409
13 412
13 415
13 418
13 421
13 424
13 427
13 430
13 433
13 436
13 439
13 442
13 445
13 448
13 451
13 454
13 457
13 460
13 463
13 466
13 469
13 472
13 475
13 478
13 481
13 484
13 487
13 490
13 493
13 496
16 1
16 4
16 7
16 10
16 13
16 16
16 19
16 22
16 25
16 28
16 31
16 34
16 37
16 40
16 43
16 46
16 49
16 52
16 55
16 58
16 61
16 64
16 67
16 70
16 73
16 76
16 79
16 82
16 85
16 88
16 91
16 94
16 97
16 100
16 103
16 106
16 109
16 112
16 115
16 118
16 121
16 124
16 127
16 130
16 133
16 136
16 139
16 142
16 145
16 148
16 151
16 154
16 157
16 160
16 163
16 166
16 169
16 172
16 175
16 178
16 181
16 184
16 187
16 190
16 193
16 196
16 199
16 202
16 205
16 208
16 211
16 214
16 217
16 220
16 223
16 226
16 229
16 232
16 235
16 238
16 241
16 244
16 247
16 250
16 253
16 256
16 259
16 262
16 265
16 268
16 271
16 274
16 277
16 280
16 283
16 286
16 289
16 292
16 295
16 298
16 301
16 304
16 307
16 310
16 313
16 316
16 319
16 322
16 325
16 328
16 331
16 334
16 337
16 340
16 343
16 346
16 349
16 352
16 355
16 358
16 361
16 364
16 367
16 370
16 373
16 376
16 379
16 382
16 385
16 388
16 391
16 394
16 397
16 400
16 403
16 406
16 409
16 412
16 415
16 418
16 421
16 424
16 427
16 430
16 433
16 436
16 439
16 442
16 445
16 448
16 451
16 454
16 457
16 460
16 463
16 466
16 469
16 472
16 475
16 478
16 481
16 484
16 487
16 490
16 493
16 496
19 1
19 4
19 7
19 10
19 13
19 16
19 19
19 22
19 25
19 28
19 31
19 34
19 37
19 40
19 43
19 46
19 49
19 52
19 55
19 58
19 61
19 64
19 67
19 70
19 73
19 76
19 79
19 82
19 85
19 88
19 91
19 94
19 97
19 100
19 103
19 106
19 109
19 112
19 115
19 118
19 121
19 124
19 127
19 130
19 133
19 136
19 139
19 142
19 145
19 148
19 151
19 154
19 157
19 160
19 163
19 166
19 169
19 172
19 175
19 178
19 181
19 184
19 187
19 190
19 193
19 196
19 199
19 202
19 205
19 208
19 211
19 214
19 217
19 220
19 223
19 226
19 229
19 232
19 235
19 238
19 241
19 244
19 247
19 250
19 253
19 256
19 259
19 262
19 265
19 268
19 271
19 274
19 277
19 280
19 283
19 286
19 289
19 292
19 295
19 298
19 301
19 304
19 307
19 310
19 313
19 316
19 319
19 322
19 325
19 328
19 331
19 334
19 337
19 340
19 343
19 346
19 349
19 352
19 355
19 358
19 361
19 364
19 367
19 370
19 373
19 376
19 379
19 382
19 385
19 388
19 391
19 394
19 397
19 400
19 403
19 406
19 409
19 412
19 415
19 418
19 421
19 424
19 427
19 430
19 433
19 436
19 439
19 442
19 445
19 448
19 451
19 454
19 457
19 460
19 463
19 466
19 469
19 472
19 475
19 478
19 481
19 484
19 487
19 490
19 493
19 496
22 1
22 4
22 7
22 10
22 13
22 16
22 19
22 22
22 25
22 28
22 31
22 34
22 37
22 40
22 43
22 46
22 49
22 52
22 55
22 58
22 61
22 64
22 67
22 70
22 73
22 76
22 79
22 82
22 85
22 88
22 91
22 94
22 97
22 100
22 103
22 106
22 109
22 112
22 115
22 118
22 121
22 124
22 127
22 130
22 133
22 136
22 139
22 142
22 145
22 148
22 151
22 154
22 157
22 160
22 163
22 166
22 169
22 172
22 175
22 178
22 181
22 184
22 187
22 190
22 193
22 196
22 199
22 202
22 205
22 208
22 211
22 214
22 217
22 220
22 223
22 226
22 229
22 232
22 235
22 238
22 241
22 244
22 247
22 250
22 253
22 256
22 259
22 262
22 265
22 268
22 271
22 274
22 277
22 280
22 283
22 286
22 289
22 292
22 295
22 298
22 301
22 304
22 307
22 310
22 313
22 316
22 319
22 322
22 325
22 328
22 331
22 334
22 337
22 340
22 343
22 346
22 349
22 352
22 355
22 358
22 361
22 364
22 367
22 370
22 373
22 376
22 379
22 382
22 385
22 388
22 391
22 394
22 397
22 400
22 403
22 406
22 409
22 412
22 415
22 418
22 421
22 424
22 427
22 430
22 433
22 436
22 439
22 442
22 445
22 448
22 451
22 454
22 457
22 460
22 463
22 466
22 469
22 472
22 475
22 478
22 481
22 484
22 487
22 490
22 493
22 496
25 1
25 4
25 7
25 10
25 13
25 16
25 19
25 22
25 25
25 28
25 31
25 34
25 37
25 40
25 43
25 46
25 49
25 52
25 55
25 58
25 61
25 64
25 67
25 70
25 73
25 76
25 79
25 82
25 85
25 88
25 91
25 94
25 97
25 100
25 103
25 106
25 109
25 112
25 115
25 118
25 121
25 124
25 127
25 130
25 133
25 136
25 139
25 142
25 145
25 148
25 151
25 154
25 157
25 160
25 163
25 166
25 169
25 172
25 175
25 178
25 181
25 184
25 187
25 190
25 193
25 196
25 199
25 202
25 205
25 208
25 211
25 214
25 217
25 220
25 223
25 226
25 229
25 232
25 235
25 238
25 241
25 244
25 247
25 250
25 253
25 256
25 259
25 262
25 265
25 268
25 271
25 274
25 277
25 280
25 283
25 286
25 289
25 292
25 295
25 298
25 301
25 304
25 307
25 310
25 313
25 316
25 319
25 322
25 325
25 328
25 331
25 334
25 337
25 340
25 343
25 346
25 349
25 352
25 355
25 358
25 361
25 364
25 367
25 370
25 373
25 376
25 379
25 382
25 385
25 388
25 391
25 394
25 397
25 400
25 403
25 406
25 409
25 412
25 415
25 418
25 421
25 424
25 427
25 430
25 433
25 436
25 439
25 442
25 445
25 448
25 451
25 454
25 457
25 460
25 463
25 466
25 469
25 472
25 475
25 478
25 481
25 484
25 487
25 490
25 493
25 496
28 1
28 4
28 7
28 10
28 13
28 16
28 19
28 22
28 25
28 28
28 31
28 34
28 37
28 40
28 43
28 46
28 49
28 52
28 55
28 58
28 61
28 64
28 67
28 70
28 73
28 76
28 79
28 82
28 85
28 88
28 91
28 94
28 97
28 100
28 103
28 106
28 109
28 112
28 115
28 118
28 121
28 124
28 127
28 130
28 133
28 136
28 139
28 142
28 145
28 148
28 151
28 154
28 157
28 160
28 163
28 166
28 169
28 172
28 175
28 178
28 181
28 184
28 187
28 190
28 193
28 196
28 199
28 202
28 205
28 208
28 211
28 214
28 217
28 220
28 223
28 226
28 229
28 232
28 235
28 238
28 241
28 244
28 247
28 250
28 253
28 256
28 259
28 262
28 265
28 268
28 271
28 274
28 277
28 280
28 283
28 286
28 289
28 292
28 295
28 298
28 301
28 304
28 307
28 310
28 313
28 316
28 319
28 322
28 325
28 328
28 331
28 334
28 337
28 340
28 343
28 346
28 349
28 352
28 355
28 358
28 361
28 364
28 367
28 370
28 373
28 376
28 379
28 382
28 385
28 388
28 391
28 394
28 397
28 400
28 403
28 406
28 409
28 412
28 415
28 418
28 421
28 424
28 427
28 430
28 433
28 436
28 439
28 442
28 445
28 448
28 451
28 454
28 457
28 460
28 463
28 466
28 469
28 472
28 475
28 478
28 481
28 484
28 487
28 490
28 493
28 496
31 1
31 4
31 7
31 10
31 13
31 16
31 19
31 22
31 25
31 28
31 31
31 34
31 37
31 40
31 43
31 46
31 49
31 52
31 55
31 58
31 61
31 64
31 67
31 70
31 73
31 76
31 79
31 82
31 85
31 88
31 91
31 94
31 97
31 100
31 103
31 106
31 109
31 112
31 115
31 118
31 121
31 124
31 127
31 130
31 133
31 136
31 139
31 142
31 145
31 148
31 151
31 154
31 157
31 160
31 163
31 166
31 169
31 172
31 175
31 178
31 181
31 184
31 187
31 190
31 193
31 196
31 199
31 202
31 205
31 208
31 211
31 214
31 217
31 220
31 223
31 226
31 229
31 232
31 235
31 238
31 241
31 244
31 247
31 250
31 253
31 256
31 259
31 262
31 265
31 268
31 271
31 274
31 277
31 280
31 283
31 286
31 289
31 292
31 295
31 298
31 301
31 304
31 307
31 310
31 313
31 316
31 319
31 322
31 325
31 328
31 331
31 334
31 337
31 340
31 343
31 346
31 349
31 352
31 355
31 358
31 361
31 364
31 367
31 370
31 373
31 376
31 379
31 382
31 385
31 388
31 391
31 394
31 397
31 400
31 403
31 406
31 409
31 412
31 415
31 418
31 421
31 424
31 427
31 430
31 433
31 436
31 439
31 442
31 445
31 448
31 451
31 454
31 457
31 460
31 463
31 466
31 469
31 472
31 475
31 478
31 481
31 484
31 487
31 490
31 493
31 496
34 1
34 4
34 7
34 10
34 13
34 16
34 19
34 22
34 25
34 28
34 31
34 34
34 37
34 40
34 43
34 46
34 49
34 52
34 55
34 58
34 61
34 64
34 67
34 70
34 73
34 76
34 79
34 82
34 85
34 88
34 91
34 94
34 97
34 100
34 103
34 106
34 109
34 112
34 115
34 118
34 121
34 124
34 127
34 130
34 133
34 136
34 139
34 142
34 145
34 148
34 151
34 154
34 157
34 160
34 163
34 166
34 169
34 172
34 175
34 178
34 181
34 184
34 187
34 190
34 193
34 196
34 199
34 202
34 205
34 208
34 211
34 214
34 217
34 220
34 223
34 226
34 229
34 232
34 235
34 238
34 241
34 244
34 247
34 250
34 253
34 256
34 259
34 262
34 265
34 268
34 271
34 274
34 277
34 280
34 283
34 286
34 289
34 292
34 295
34 298
34 301
34 304
34 307
34 310
34 313
34 316
34 319
34 322
34 325
34 328
34 331
34 334
34 337
34 340
34 343
34 346
34 349
34 352
34 355
34 358
34 361
34 364
34 367
34 370
34 373
34 376
34 379
34 382
34 385
34 388
34 391
34 394
34 397
34 400
34 403
34 406
34 409
34 412
34 415
34 418
34 421
34 424
34 427
34 430
34 433
34 436
34 439
34 442
34 445
34 448
34 451
34 454
34 457
34 460
34 463
34 466
34 469
34 472
34 475
34 478
34 481
34 484
34 487
34 490
34 493
34 496
37 1
37 4
37 7
37 10
37 13
37 16
37 19
37 22
37 25
37 28
37 31
37 34
37 37
37 40
37 43
37 46
37 49
37 52
37 55
37 58
37 61
37 64
37 67
37 70
37 73
37 76
37 79
37 82
37 85
37 88
37 91
37 94
37 97
37 100
37 103
37 106
37 109
37 112
37 115
37 118
37 121
37 124
37 127
37 130
37 133
37 136
37 139
37 142
37 145
37 148
37 151
37 154
37 157
37 160
37 163
37 166
37 169
37 172
37 175
37 178
37 181
37 184
37 187
37 190
37 193
37 196
37 199
37 202
37 205
37 208
37 211
37 214
37 217
37 220
37 223
37 226
37 229
37 232
37 235
37 238
37 241
37 244
37 247
37 250
37 253
37 256
37 259
37 262
37 265
37 268
37 271
37 274
37 277
37 280
37 283
37 286
37 289
37 292
37 295
37 298
37 301
37 304
37 307
37 310
37 313
37 316
37 319
37 322
37 325
37 328
37 331
37 334
37 337
37 340
37 343
37 346
37 349
37 352
37 355
37 358
37 361
37 364
37 367
37 370
37 373
37 376
37 379
37 382
37 385
37 388
37 391
37 394
37 397
37 400
37 403
37 406
37 409
37 412
37 415
37 418
37 421
37 424
37 427
37 430
37 433
37 436
37 439
37 442
37 445
37 448
37 451
37 454
37 457
37 460
37 463
37 466
37 469
37 472
37 475
37 478
37 481
37 484
37 487
37 490
37 493
37 496
40 1
40 4
40 7
40 10
40 13
40 16
40 19
40 22
40 25
40 28
40 31
40 34
40 37
40 40
40 43
40 46
40 49
40 52
40 55
40 58
40 61
40 64
40 67
40 70
40 73
40 76
40 79
40 82
40 85
40 88
40 91
40 94
40 97
40 100
40 103
40 106
40 109
40 112
40 115
40 118
40 121
40 124
40 127
40 130
40 133
40 136
40 139
40 142
40 145
40 148
40 151
40 154
40 157
40 160
40 163
40 166
40 169
40 172
40 175
40 178
40 181
40 184
40 187
40 190
40 193
40 196
40 199
40 202
40 205
40 208
40 211
40 214
40 217
40 220
40 223
40 226
40 229
40 232
40 235
40 238
40 241
40 244
40 247
40 250
40 253
40 256
40 259
40 262
40 265
40 268
40 271
40 274
40 277
40 280
40 283
40 286
40 289
40 292
40 295
40 298
40 301
40 304
40 307
40 310
40 313
40 316
40 319
40 322
40 325
40 328
40 331
40 334
40 337
40 340
40 343
40 346
40 349
40 352
40 355
40 358
40 361
40 364
40 367
40 370
40 373
40 376
40 379
40 382
40 385
40 388
40 391
40 394
40 397
40 400
40 403
40 406
40 409
40 412
40 415
40 418
40 421
40 424
40 427
40 430
40 433
40 436
40 439
40 442
40 445
40 448
40 451
40 454
40 457
40 460
40 463
40 466
40 469
40 472
40 475
40 478
40 481
40 484
40 487
40 490
40 493
40 496
43 1
43 4
43 7
43 10
43 13
43 16
43 19
43 22
43 25
43 28
43 31
43 34
43 37
43 40
43 43
43 46
43 49
43 52
43 55
43 58
43 61
43 64
43 67
43 70
43 73
43 76
43 79
43 82
43 85
43 88
43 91
43 94
43 97
43 100
43 103
43 106
43 109
43 112
43 115
43 118
43 121
43 124
43 127
43 130
43 133
43 136
43 139
43 142
43 145
43 148
43 151
43 154
43 157
43 160
43 163
43 166
43 169
43 172
43 175
43 178
43 181
43 184
43 187
43 190
43 193
43 196
43 199
43 202
43 205
43 208
43 211
43 214
43 217
43 220
43 223
43 226
43 229
43 232
43 235
43 238
43 241
43 244
43 247
43 250
43 253
43 256
43 259
43 262
43 265
43 268
43 271
43 274
43 277
43 280
43 283
43 286
43 289
43 292
43 295
43 298
43 301
43 304
43 307
43 310
43 313
43 316
43 319
43 322
43 325
43 328
43 331
43 334
43 337
43 340
43 343
43 346
43 349
43 352
43 355
43 358
43 361
43 364
43 367
43 370
43 373
43 376
43 379
43 382
43 385
43 388
43 391
43 394
43 397
43 400
43 403
43 406
43 409
43 412
43 415
43 418
43 421
43 424
43 427
43 430
43 433
43 436
43 439
43 442
43 445
43 448
43 451
43 454
43 457
43 460
43 463
43 466
43 469
43 472
43 475
43 478
43 481
43 484
43 487
43 490
43 493
43 496
46 1
46 4
46 7
46 10
46 13
46 16
46 19
46 22
46 25
46 28
46 31
46 34
46 37
46 40
46 43
46 46
46 49
46 52
46 55
46 58
46 61
46 64
46 67
46 70
46 73
46 76
46 79
46 82
46 85
46 88
46 91
46 94
46 97
46 100
46 103
46 106
46 109
46 112
46 115
46 118
46 121
46 124
46 127
46 130
46 133
46 136
46 139
46 142
46 145
46 148
46 151
46 154
46 157
46 160
46 163
46 166
46 169
46 172
46 175
46 178
46 181
46 184
46 187
46 190
46 193
46 196
46 199
46 202
46 205
46 208
46 211
46 214
46 217
46 220
46 223
46 226
46 229
46 232
46 235
46 238
46 241
46 244
46 247
46 250
46 253
46 256
46 259
46 262
46 265
46 268
46 271
46 274
46 277
46 280
46 283
46 286
46 289
46 292
46 295
46 298
46 301
46 304
46 307
46 310
46 313
46 316
46 319
46 322
46 325
46 328
46 331
46 334
46 337
46 340
46 343
46 346
46 349
46 352
46 355
46 358
46 361
46 364
46 367
46 370
46 373
46 376
46 379
46 382
46 385
46 388
46 391
46 394
46 397
46 400
46 403
46 406
46 409
46 412
46 415
46 418
46 421
46 424
46 427
46 430
46 433
46 436
46 439
46 442
46 445
46 448
46 451
46 454
46 457
46 460
46 463
46 466
46 469
46 472
46 475
46 478
46 481
46 484
46 487
46 490
46 493
46 496
48 498
1 498
4 498
7 498
10 498
13 498
16 498
19 498
22 498
25 498
28 498
31 498
34 498
37 498
40 498
43 498
48 1
48 4
48 7
48 10
48 13
48 16
48 19
48 22
48 25
48 28
48 31
48 34
48 37
48 40
48 43
48 46
48 49
48 52
48 55
48 58
48 61
48 64
48 67
48 70
48 73
48 76
48 79
48 82
48 85
48 88
48 91
48 94
48 97
48 100
48 103
48 106
48 109
48 112
48 115
48 118
48 121
48 124
48 127
48 130
48 133
48 136
48 139
48 142
48 145
48 148
48 151
48 154
48 157
48 160
48 163
48 166
48 169
48 172
48 175
48 178
48 181
48 184
48 187
48 190
48 193
48 196
48 199
48 202
48 205
48 208
48 211
48 214
48 217
48 220
48 223
48 226
48 229
48 232
48 235
48 238
48 241
48 244
48 247
48 250
48 253
48 256
48 259
48 262
48 265
48 268
48 271
48 274
48 277
48 280
48 283
48 286
48 289
48 292
48 295
48 298
48 301
48 304
48 307
48 310
48 313
48 316
48 319
48 322
48 325
48 328
48 331
48 334
48 337
48 340
48 343
48 346
48 349
48 352
48 355
48 358
48 361
48 364
48 367
48 370
48 373
48 376
48 379
48 382
48 385
48 388
48 391
48 394
48 397
48 400
48 403
48 406
48 409
48 412
48 415
48 418
48 421
48 424
48 427
48 430
48 433
48 436
48 439
48 442
48 445
48 448
48 451
48 454
48 457
48 460
48 463
48 466
48 469
48 472
48 475
48 478
48 481
48 484
48 487
48 490
48 493
45 498
48 495

3223ms
